datum,tijd,verbruik_kwh,kosten_euro,co2_kg,type
2024-01-01,00:00,2.3,0.46,1.15,elektriciteit
2024-01-01,01:00,1.8,0.36,0.90,elektriciteit
2024-01-01,02:00,1.5,0.30,0.75,elektriciteit
2024-01-01,03:00,1.2,0.24,0.60,elektriciteit
2024-01-01,04:00,1.0,0.20,0.50,elektriciteit
2024-01-01,05:00,1.3,0.26,0.65,elektriciteit
2024-01-01,06:00,2.1,0.42,1.05,elektriciteit
2024-01-01,07:00,3.5,0.70,1.75,elektriciteit
2024-01-01,08:00,4.2,0.84,2.10,elektriciteit
2024-01-01,09:00,3.8,0.76,1.90,elektriciteit
2024-01-01,10:00,3.2,0.64,1.60,elektriciteit
2024-01-01,11:00,3.0,0.60,1.50,elektriciteit
2024-01-01,12:00,3.8,0.76,1.90,elektriciteit
2024-01-01,13:00,3.5,0.70,1.75,elektriciteit
2024-01-01,14:00,3.2,0.64,1.60,elektriciteit
2024-01-01,15:00,3.8,0.76,1.90,elektriciteit
2024-01-01,16:00,4.5,0.90,2.25,elektriciteit
2024-01-01,17:00,5.2,1.04,2.60,elektriciteit
2024-01-01,18:00,6.1,1.22,3.05,elektriciteit
2024-01-01,19:00,5.8,1.16,2.90,elektriciteit
2024-01-01,20:00,5.2,1.04,2.60,elektriciteit
2024-01-01,21:00,4.8,0.96,2.40,elektriciteit
2024-01-01,22:00,3.5,0.70,1.75,elektriciteit
2024-01-01,23:00,2.8,0.56,1.40,elektriciteit
2024-01-02,00:00,2.1,0.42,1.05,elektriciteit
2024-01-02,01:00,1.7,0.34,0.85,elektriciteit
2024-01-02,02:00,1.4,0.28,0.70,elektriciteit
2024-01-02,03:00,1.1,0.22,0.55,elektriciteit
2024-01-02,04:00,0.9,0.18,0.45,elektriciteit
2024-01-02,05:00,1.2,0.24,0.60,elektriciteit
2024-01-02,06:00,2.0,0.40,1.00,elektriciteit
2024-01-02,07:00,3.3,0.66,1.65,elektriciteit
20244-01-01,00:00,1.2,0.24,0.60,gas
2024-01-01,01:00,1.0,0.20,0.50,gas
2024-01-01,02:00,0.8,0.16,0.40,gas
2024-01-01,03:00,0.7,0.14,0.35,gas
2024-01-01,04:00,0.6,0.12,0.30,gas
2024-01-01,05:00,0.8,0.16,0.40,gas
2024-01-01,06:00,1.5,0.30,0.75,gas
2024-01-01,07:00,2.8,0.56,1.40,gas
2024-01-01,08:00,3.2,0.64,1.60,gas
2024-01-01,09:00,2.5,0.50,1.25,gas
2024-01-01,10:00,2.0,0.40,1.00,gas
2024-01-01,11:00,1.8,0.36,0.90,gas
2024-01-01,12:00,2.2,0.44,1.10,gas
2024-01-01,13:00,2.0,0.40,1.00,gas
2024-01-01,14:00,1.8,0.36,0.90,gas
2024-01-01,15:00,2.1,0.42,1.05,gas
2024-01-01,16:00,2.8,0.56,1.40,gas
2024-01-01,17:00,3.5,0.70,1.75,gas
2024-01-01,18:00,4.2,0.84,2.10,gas
2024-01-01,19:00,3.8,0.76,1.90,gas
2024-01-01,20:00,3.2,0.64,1.60,gas
2024-01-01,21:00,2.8,0.56,1.40,gas
2024-01-01,22:00,2.0,0.40,1.00,gas
2024-01-01,23:00,1.5,0.30,0.75,gas 
